start	end	text
0	4240	Excusez-moi madame, désolée de vous déranger, on est étudiante en fait à la
4240	7600	fac, on fait une étude sur le cinéma. On voulait savoir si c'était possible de vous poser
7600	12200	quelques questions, ça prend vraiment deux petites minutes maximum.
12200	16840	Quel film vous venez de voir ? Toilite. D'accord. Est-ce que ça vous a plu ?
16840	20160	Oui, c'était très bien. C'est quoi qui vous a plu dans le film ?
20160	25520	Tout, qui est bien aimé. Le jeu des acteurs, le scénario. Vous aviez déjà vu les précédents ?
25520	29920	J'en ai vu un que le premier, alors c'est sûr. Il m'a mangé un morceau, mais non, je trouvais ça pas mal.
30240	36240	Mieux que le premier, ça bougeait plus. Que diriez-vous à quelqu'un pour le convaincre
36240	41600	justement d'aller voir ce film ? C'est pas évident. Il faut vraiment aimer
41600	46720	déjà un peu le fantastique. C'est pas non plus un film qui fait très très peur,
46720	51160	c'est pour les jeunes, plutôt pour les jeunes, pour les ados je dirais.
51160	55120	C'est un film pour ados. Est-ce que vous pouvez me raconter dans les grandes lignes bien sûr
55120	63680	l'histoire du film ? C'est une histoire d'amour entre une humaine qu'ils appellent
63680	69280	et puis un vampire. C'est une grande ligne. Quand j'ai pas vu les deux du milieu,
69280	74400	il me manque un morceau. Là, apparemment, ils se sont mariés, ils ont eu un bébé et puis
74400	79840	c'est un peu un truc à l'odorose. Pour moi, c'est comme ces romancés, comme les histoires
79920	84680	pour les petits. Ça va être une belle histoire d'amour qui finit bien.
84680	90520	D'accord. Est-ce que vous aimez bien ce cinéma ? Je viens pas souvent d'ailleurs. Je viens une fois
90520	94840	depuis peut-être une dizaine d'années. Et en règle générale, vous aimez bien le cinéma ?
94840	101960	Oui. Vous y allez régulièrement ? On va à Saran en général. On est mieux par rapport aux horaires.
101960	106880	Oui, bien sûr. Alors je vais terminer avec trois petites questions. Je vais vous demander votre âge,
106920	109480	si vous voulez bien. J'ai 44 ans. D'accord. Votre profession ?
109480	111440	Secrétaire. D'accord. Et vous habitez où ?
111440	115880	A Cléris-Saint-André. D'accord. Alors en fait, cet enregistrement, il va nous servir parce qu'on
115880	121440	dresse le portrait sonore de la ville d'Orléans en 2011 et on voulait savoir si on pouvait utiliser
121440	125840	cet enregistrement. C'est totalement anonyme ? Oui. Oui ? Vous voulez bien ? D'accord. Bonne
125840	127480	journée. Merci beaucoup. Bonne soirée.
